block_id,node_id,distance,time
325031,7001,1051,778
325031,7002,1000,775
325031,7003,952,777
325031,7004,949,717
325031,7005,904,676
325031,7006,854,675
325031,7007,807,681
325031,7008,998,742
325031,7009,854,649
325031,7010,757,574
325031,7011,707,568
325031,7012,659,569
325031,7013,809,593
325031,7014,752,552
325031,7015,648,481
325031,7016,562,433
325031,7017,570,482
325031,7018,514,437
325031,7019,681,493
325031,7020,577,420
325031,7021,472,349
325031,7022,366,271
325031,7023,537,389
325031,7024,431,314
325031,7025,326,240
325031,7026,221,160
325031,7027,389,283
325031,7028,284,207
325031,7029,179,133
325031,7030,74,54
325031,7031,126,97
325031,7032,382,277
325031,7033,282,205
325031,7034,176,131
325031,7035,71,51
325031,7036,429,311
325031,7037,323,236
325031,7038,218,160
325031,7039,573,415
325031,7040,464,337
325032,7001,1051,778
325032,7002,1000,775
325032,7003,952,777
325032,7004,949,717
325032,7005,904,676
325032,7006,854,675
325032,7007,807,681
325032,7008,998,742
325032,7009,855,649
325032,7010,757,574
325032,7011,707,568
325032,7012,659,569
325032,7013,809,593
325032,7014,752,552
325032,7015,648,481
325032,7016,562,433
325032,7017,571,482
325032,7018,515,437
325032,7019,681,493
325032,7020,577,420
325032,7021,472,349
325032,7022,366,271
325032,7023,537,389
325032,7024,431,314
325032,7025,326,240
325032,7026,221,160
325032,7027,389,283
325032,7028,284,207
325032,7029,179,133
325032,7030,74,54
325032,7031,126,97
325032,7032,382,277
325032,7033,282,205
325032,7034,176,131
325032,7035,71,51
325032,7036,429,311
325032,7037,322,236
325032,7038,218,160
325032,7039,573,415
325032,7040,464,337
325041,7001,908,674
325041,7002,857,671
325041,7003,809,673
325041,7004,806,613
325041,7005,761,572
325041,7006,711,571
325041,7007,663,577
325041,7008,855,638
325041,7009,711,545
325041,7010,614,470
325041,7011,564,464
325041,7012,516,465
325041,7013,666,489
325041,7014,609,448
325041,7015,505,377
325041,7016,419,329
325041,7017,427,379
325041,7018,371,333
325041,7019,538,389
325041,7020,434,316
325041,7021,329,245
325041,7022,223,167
325041,7023,394,285
325041,7024,288,210
325041,7025,183,136
325041,7026,78,56
325041,7027,384,279
325041,7028,279,203
325041,7029,174,129
325041,7030,69,50
325041,7031,121,93
325041,7032,525,381
325041,7033,425,309
325041,7034,320,235
325041,7035,214,155
325041,7036,572,415
325041,7037,466,340
325041,7038,361,264
325041,7039,716,519
